index,depth,mean_SN_ratio,Fracture_Type,azimuth,dip
499,43.8,0.2627501686045989,2,6.29,74.88
201,30.1,0.2625931101745128,2,353.8,76.72
186,26.79,0.26255752238116775,2,357.8,67.19
1005,71.24,0.2624343363938066,2,187.05,45.87
203,30.31,0.26210609802678875,2,351.96,74.23
231,32.55,0.26199882235385774,2,237.85,47.24
750,54.42,0.261957559550387,2,352.08,73.06
187,27.52,0.2618011270826167,2,357.75,66.64
805,60.57,0.26165980981424813,2,181.35,34.5
138,21.36,0.2613938487223718,2,230.31,53.83
970,69.88,0.26138672002732544,2,168.67,38.82
364,38.55,0.2613504695687715,2,235.66,54.79
206,30.46,0.2612855387429033,2,353.48,78.26
790,59.07,0.26104705249442717,2,37.75,76.75
486,43.39,0.26099672817777675,2,29.97,62.19
237,32.96,0.26097751288806886,2,239.33,50.83
254,33.56,0.26093786310721584,2,353.42,69.48
54,14.34,0.2609195558795442,1,212.11,46.3
589,48.56,0.2608949199883507,2,352.52,70.51
896,66.56,0.26089107501883957,2,7.12,62.46
189,28.92,0.2608419942423914,2,358.0,65.83
1049,74.66,0.2608176254877243,2,350.58,74.48
30,10.18,0.26055347897938447,2,230.04,54.34
845,63.73,0.2604796937924484,2,239.0,46.59
507,44.12,0.26034414908204867,2,12.72,74.61
212,31.12,0.2601228057771996,2,349.8,75.94
295,35.55,0.2600930542445547,2,239.8,52.91
196,29.38,0.2599713757042276,2,351.59,70.71
43,11.7,0.25981230397455,2,48.67,72.16
365,38.57,0.25956415811809574,2,31.3,61.71
267,34.23,0.2595311735164476,2,11.2,61.07
766,56.07,0.2595219717215435,2,350.28,72.25
315,36.64,0.25951252475469777,2,227.23,53.63
529,45.19,0.2593018614240508,2,10.29,61.09
1025,72.18,0.25929804228520137,2,170.04,36.8
474,43.0,0.2591989366611567,2,349.39,73.72
1044,74.05,0.25909130621059956,2,238.88,56.08
636,50.21,0.25908716282885963,2,241.02,50.14
527,45.06,0.25902875554188065,1,216.91,48.83
634,50.16,0.2590044776558822,2,349.54,72.96
576,48.0,0.2588118238795799,2,352.1,68.99
218,31.79,0.25879509083396124,2,196.1,45.77
1008,71.27,0.25873572147977986,2,186.29,32.2
998,70.96,0.25872396842023876,2,356.87,65.2
571,47.59,0.2585556089942361,2,16.54,60.17
1050,74.85,0.25844540333294574,2,220.84,50.85
637,50.25,0.25835822714732154,2,10.5,60.63
531,45.36,0.25830521158363684,2,25.47,60.28
216,31.37,0.25827642724334743,2,12.0,60.4
868,65.04,0.25825520500577337,2,21.02,60.0
233,32.59,0.2581580251033091,2,239.67,44.38
209,30.73,0.25810702635536903,2,350.16,70.73
584,48.43,0.2580098215362486,2,240.78,55.49
810,60.8,0.25783638008251214,2,30.04,60.67
785,58.84,0.2577650616673345,2,351.01,81.12
456,42.52,0.2577267164075904,2,347.7,76.4
294,35.52,0.25767981267245066,2,15.52,59.84
151,22.2,0.2575467283379978,2,353.37,66.91
393,39.52,0.25753846072041703,2,242.12,49.53
440,41.61,0.25747526576904084,2,347.51,77.55
135,21.27,0.2574134307317582,2,176.87,52.61
885,65.74,0.2573681659606313,2,240.52,56.84
123,20.82,0.2572582394974003,2,348.3,72.95
58,14.92,0.25692610068536126,2,204.08,30.69
396,39.66,0.25675489745504304,2,242.51,53.96
273,34.5,0.256724206705302,2,242.29,47.81
762,55.64,0.2566962493050326,2,348.99,71.04
220,31.85,0.25663863628203076,2,242.77,49.7
757,55.14,0.25656352037347463,2,355.09,65.1
200,30.04,0.2563264044324519,2,350.37,68.93
568,47.44,0.2562992898986842,2,235.3,38.54
242,33.17,0.25628564827446093,2,346.86,75.23
878,65.53,0.2562663330293382,2,241.14,57.61
207,30.55,0.25623107368315373,2,347.64,72.93
235,32.8,0.2562045661493645,2,347.1,74.23
420,40.89,0.2561798785604476,2,355.72,64.51
299,35.72,0.25617347199201956,2,242.86,48.56
760,55.58,0.2561594499702583,2,346.51,76.87
767,56.3,0.2560509524842029,2,352.31,66.86
532,45.39,0.25593647239445433,2,32.1,60.25
841,63.62,0.2559065694082526,2,226.72,55.3
861,64.66,0.2557280431671546,2,0.06,62.18
1041,73.6,0.2557144639075866,2,236.77,60.0
245,33.24,0.25569924551734896,2,243.3,53.95
404,40.0,0.25569724758735446,2,182.81,50.43
107,19.76,0.25554962064934594,2,346.38,75.25
411,40.47,0.2554694021471149,2,243.4,54.25
875,65.32,0.2553406910299989,2,231.52,58.42
574,47.9,0.25501341579049486,2,347.92,71.07
751,54.46,0.25501270570485846,2,348.21,70.63
1011,71.42,0.25495745974006656,2,244.01,51.4
41,11.56,0.2548507910593355,2,168.78,35.07
758,55.16,0.2548415036523053,2,159.21,41.84
520,44.72,0.2548210055102318,2,349.24,69.12
645,50.55,0.25480446265087603,2,242.86,57.12
915,67.85,0.2547770232171375,2,240.42,59.93
471,42.98,0.25477500070857234,2,348.42,70.13
28,9.82,0.25475504530118165,2,345.79,75.65
604,49.04,0.25472191116604764,2,244.06,53.39
643,50.44,0.25471758503750674,2,240.94,59.62
306,36.09,0.2545852953878904,2,10.49,59.09
909,67.69,0.25456307835120284,2,235.41,60.62
877,65.5,0.254529055057135,2,240.86,59.88
610,49.29,0.2545004801291691,2,347.51,71.24
120,20.66,0.2544401254462738,2,345.29,78.1
534,45.56,0.2542148340820733,2,12.49,58.71
417,40.83,0.25407504835063943,2,359.37,61.75
537,45.72,0.25403714452578896,2,345.08,79.32
285,35.03,0.2540174226383142,2,244.55,50.7
812,60.94,0.2540140416975039,2,22.49,76.35
98,18.83,0.25398345045773213,2,345.02,77.56
93,18.44,0.25393850932983775,2,345.57,74.71
358,38.23,0.25393323708089804,2,160.42,39.92
573,47.88,0.25392063336871756,2,346.74,82.98
361,38.37,0.25382698237687495,2,244.49,49.38
985,70.39,0.2537335103875727,2,189.47,48.81
143,21.56,0.25369921487688996,2,241.92,43.13
768,56.52,0.25369238293561286,2,347.96,69.89
1036,73.03,0.2536850824419303,2,353.06,64.98
432,41.35,0.2536620508218992,2,351.15,66.46
560,46.97,0.2535726994264145,2,244.4,55.47
15,8.42,0.25354956203317214,2,177.57,31.61
647,50.6,0.25350875154793817,2,244.75,54.0
910,67.71,0.25343283521110216,2,238.92,61.75
916,67.87,0.25341591073268627,2,233.06,60.4
897,66.63,0.25335621073012177,2,210.31,48.83
279,34.75,0.2533330026830502,2,230.29,58.83
830,62.52,0.2532804270479697,2,14.83,58.17
148,21.85,0.2532626010130425,2,202.62,47.63
341,37.68,0.2531957083818354,2,244.93,49.82
304,35.89,0.25312330894342316,2,244.52,56.08
287,35.16,0.253073598396544,2,243.42,44.97
241,33.15,0.2530533291673245,2,245.17,52.24
444,42.12,0.25305113412326724,2,345.95,72.58
959,69.46,0.2529843087506728,no data,244.77,55.52
1042,73.93,0.252962319985145,2,244.84,48.64
709,52.84,0.25286527316362656,2,355.56,63.04
95,18.6,0.2528462131263026,2,237.75,62.3
161,23.02,0.25281888290828464,2,200.07,47.69
838,63.56,0.2527902848144851,2,242.41,43.01
870,65.13,0.2527516612789355,2,245.27,50.51
747,54.25,0.25274662965836037,2,243.65,58.69
654,50.93,0.25265419210033735,2,352.68,64.74
633,50.15,0.2525698627862619,2,244.75,56.5
755,54.99,0.25254005482700775,2,345.68,72.57
389,39.41,0.2525174298434843,1,54.3,82.89
113,20.36,0.25242418739285133,2,172.57,57.42
644,50.47,0.25238801356019963,2,243.41,59.53
49,13.29,0.2522787479220167,2,347.82,69.04
888,65.88,0.25227658068725556,2,245.35,54.89
535,45.62,0.25222778970197707,2,9.19,58.42
605,49.08,0.2521029164867931,2,233.57,61.47
550,46.46,0.25205235239341617,2,244.29,58.47
164,23.12,0.2517781682154054,2,245.58,49.0
580,48.28,0.25173424148962126,2,348.64,67.75
262,33.83,0.25164961297955146,2,194.16,48.49
303,35.85,0.2516049739379144,2,245.31,56.67
728,53.55,0.25138751301844403,2,353.6,63.54
17,8.47,0.2511730201484109,2,6.74,58.49
772,56.93,0.2511474839741851,2,31.25,58.28
775,57.41,0.25111230030117626,2,346.59,69.83
871,65.22,0.2510975941492827,2,29.72,58.01
701,52.68,0.2510820106601537,2,190.16,49.47
822,61.39,0.25105458379885,2,34.52,79.84
743,54.06,0.2509076364838939,2,349.38,66.54
815,61.05,0.2508648679288118,2,236.46,63.52
219,31.83,0.2507920277712846,2,244.6,44.7
997,70.96,0.2506292605613913,no data,242.96,62.0
891,66.18,0.2505928982613163,2,245.17,58.72
921,68.08,0.2505245930714579,2,237.56,64.02
253,33.56,0.2504479886728115,2,244.25,60.58
67,15.54,0.2501816175316314,2,241.05,39.5
74,15.81,0.2501331119134142,2,229.59,32.66
694,52.62,0.2501244618670662,2,356.8,61.29
966,69.72,0.2500636084005761,2,245.12,59.55
221,31.88,0.25000284565443825,2,246.84,51.79
