Depth,Temperature,FCond
30.33,25.0852,595.931
30.38,25.1102,595.733
30.43,25.1203,596.628
30.48,25.1102,595.031
30.53,25.1286,595.829
30.58,25.1203,596.66
30.63,25.1286,595.158
30.68,25.1654,595.196
30.73,25.1286,596.19
30.78,25.1286,595.196
30.83,25.1553,595.063
30.88,25.1378,595.724
30.93,25.1286,594.807
30.98,25.1553,595.461
31.03,25.1203,595.979
31.08,25.1553,595.031
31.13,25.1378,595.724
31.18,25.1378,594.807
31.23,25.1378,596.076
31.28,25.1654,594.681
31.33,25.1286,595.79
31.38,25.1378,595.329
31.43,25.147,595.187
31.48,25.1286,597.226
31.53,25.1378,595.86
31.58,25.1837,595.187
31.63,25.1553,596.222
31.68,25.147,595.09
31.73,25.1904,595.36
31.78,25.1553,596.167
31.83,25.1837,595.597
31.88,25.1729,596.755
31.93,25.1837,595.374
31.98,25.1904,595.955
32.03,25.1837,596.804
32.08,25.2021,595.955
32.13,25.2205,595.72
32.18,25.2021,596.687
32.23,25.2205,595.72
32.28,25.2255,595.486
32.33,25.2389,596.356
32.38,25.208,595.651
32.43,25.243,595.815
32.48,25.243,597.025
32.53,25.2572,595.114
32.58,25.243,596.619
32.63,25.2572,595.114
32.68,25.2781,595.551
32.73,25.2572,596.322
32.78,25.2572,595.817
32.83,25.294,596.084
32.88,25.2572,596.819
32.93,25.294,595.951
32.98,25.2957,595.349
33.03,25.2781,596.098
33.08,25.294,595.303
33.13,25.294,595.616
33.18,25.2957,596.551
33.23,25.2957,595.207
33.28,25.294,596.609
33.33,25.2781,595.749
33.38,25.3124,595.557
33.43,25.3124,596.585
33.48,25.294,595.516
33.53,25.3124,595.883
33.58,25.3124,595.382
33.63,25.3124,596.987
33.68,25.2957,595.916
33.73,25.3308,595.971
33.78,25.3308,596.886
33.83,25.3308,595.779
33.88,25.3483,597.057
33.93,25.3308,595.684
33.98,25.3658,596.351
34.03,25.3483,596.866
34.08,25.3859,595.811
34.13,25.3658,596.855
34.18,25.3859,595.971
34.23,25.3859,595.917
34.28,25.3859,597.123
34.33,25.3859,595.783
34.38,25.4009,595.917
34.43,25.3859,597.188
34.48,25.4043,596.587
34.53,25.4185,596.219
34.58,25.4043,596.581
34.63,25.4185,595.817
34.68,25.4226,595.303
34.73,25.4185,597.059
34.78,25.4043,595.303
34.83,25.436,596.085
34.88,25.4043,596.87
34.93,25.4226,596.621
34.98,25.4594,596.521
35.03,25.441,597.398
