     Depth,Temperature,FCond 25'C
         m,      deg C,     uS/cm
     42.50,    25.0735,   571.752
     42.55,    25.0735,   571.752
     42.60,    25.0735,   571.752
     42.65,    25.0735,   571.752
     42.70,    25.0791,   571.752
     42.75,    25.0735,   571.921
     42.80,    25.0791,    571.86
     42.85,    25.0735,   571.921
     42.90,    25.0735,   571.752
     42.95,    25.0896,    571.86
     43.00,    25.0735,   571.555
     43.05,    25.0896,   571.752
     43.10,    25.0896,   571.662
     43.15,    25.0735,   571.555
     43.20,    25.0896,    571.86
     43.25,    25.0896,   571.555
     43.30,    25.0896,   571.662
     43.35,    25.1056,   571.769
     43.40,    25.0791,   571.465
     43.45,    25.0958,    571.14
     43.50,    25.0896,   571.939
     43.55,    25.0958,   571.769
     43.60,    25.0896,   571.939
     43.65,    25.1056,   571.769
     43.70,    25.0896,   571.572
     43.75,    25.0896,   571.769
     43.80,    25.1056,   571.769
     43.85,    25.0896,   571.572
     43.90,    25.1056,   571.769
     43.95,    25.0958,   571.572
     44.00,    25.1056,   572.051
     44.05,    25.0896,   571.679
     44.10,    25.0958,   571.984
     44.15,    25.1056,   571.157
     44.20,    25.0958,   571.786
     44.25,    25.1056,   572.163
     44.30,    25.1126,   571.786
     44.35,    25.1056,   571.957
     44.40,    25.1056,   571.893
     44.45,    25.1056,   571.786
     44.50,    25.1217,   571.786
     44.55,    25.1056,   571.482
     44.60,    25.1056,   571.679
     44.65,    25.1056,   571.679
     44.70,    25.1217,   571.786
     44.75,    25.1126,   571.482
     44.80,    25.0958,   571.957
     44.85,    25.1217,   571.157
     44.90,    25.1126,   571.696
     44.95,    25.1126,   572.181
     45.00,    25.1217,   572.069
     45.05,    25.1217,   571.696
     45.10,    25.1126,   571.803
     45.15,    25.1217,   572.181
     45.20,    25.1056,   571.696
     45.25,    25.1217,   572.001
     45.30,    25.0958,   571.696
     45.35,    25.1217,    571.38
     45.40,    25.1217,   571.696
     45.45,    25.1217,   571.803
     45.50,    25.1217,   571.803
     45.55,    25.1294,   571.803
     45.60,    25.1294,   571.975
     45.65,    25.1217,   571.975
     45.70,    25.1217,   571.696
     45.75,    25.1217,   571.696
     45.80,    25.1217,   571.696
     45.85,    25.1217,   571.803
     45.90,    25.1294,   571.696
     45.95,    25.1217,   571.863
     46.00,    25.1217,   571.696
     46.05,    25.1378,   571.696
     46.10,    25.1217,   571.499
     46.15,    25.1217,   571.696
     46.20,    25.1217,   571.696
     46.25,    25.1294,   571.803
     46.30,    25.1217,   570.969
     46.35,    25.1294,    571.91
     46.40,    25.1217,   571.863
     46.45,    25.1378,    571.91
     46.50,    25.1217,   571.499
     46.55,    25.1217,   571.589
     46.60,    25.1378,   571.696
     46.65,    25.1294,   571.606
     46.70,    25.1378,   571.975
     46.75,    25.1217,   571.606
     46.80,    25.1378,    571.91
     46.85,    25.1378,   571.713
     46.90,    25.1378,    571.82
     46.95,    25.1462,   571.928
     47.00,    25.1217,   572.105
     47.05,    25.1294,   572.232
     47.10,    25.1378,   571.304
     47.15,    25.1378,   572.035
     47.20,    25.1539,   572.035
     47.25,    25.1378,   571.838
     47.30,    25.1378,   571.928
     47.35,    25.1378,    571.82
     47.40,    25.1539,   571.928
     47.45,    25.1455,   571.731
     47.50,    25.1539,   572.606
     47.55,    25.1378,   571.731
     47.60,    25.1539,   571.928
     47.65,    25.1294,   571.731
     47.70,    25.1539,   571.192
     47.75,    25.1378,   571.731
     47.80,    25.1539,   571.928
     47.85,    25.1539,   571.731
     47.90,    25.1378,   571.731
     47.95,    25.1539,   571.928
     48.00,    25.1539,   571.623
     48.05,    25.1539,   571.838
     48.10,    25.1539,   571.838
     48.15,    25.1539,   571.731
     48.20,    25.1539,   571.731
     48.25,    25.1539,   571.838
