     Depth,Temperature,TC FCond 25'C
         m,      deg C,        uS/cm
     21.48,    24.2303,      773.049
     21.53,    24.2092,      773.293
     21.58,    24.2485,      771.775
     21.63,    24.2475,      772.985
     21.68,    24.2303,      773.439
     21.73,    24.2485,      773.538
     21.78,    24.2303,      772.985
     21.83,    24.2485,      773.538
     21.88,    24.2303,      773.474
     21.93,    24.2475,      773.538
     21.98,    24.2485,      773.954
     22.03,    24.2303,       773.23
     22.08,    24.2475,      773.538
     22.13,    24.2485,      773.954
     22.18,    24.2485,       773.23
     22.23,    24.2284,      773.474
     22.28,    24.2475,      771.708
     22.33,    24.2485,      773.954
     22.38,    24.2485,      773.474
     22.43,    24.2475,       773.23
     22.48,    24.2667,      773.954
     22.53,    24.2485,      772.922
     22.58,    24.2485,      773.474
     22.63,    24.2667,       773.23
     22.68,    24.2667,      773.167
     22.73,    24.2667,      773.888
     22.78,    24.2485,      773.167
     22.83,    24.2667,      773.474
     22.88,    24.2485,      771.574
     22.93,    24.2667,      773.719
     22.98,    24.2667,      773.888
     23.03,    24.2667,      773.411
     23.08,    24.2667,      774.146
     23.13,    24.2667,      773.656
     23.18,    24.2667,      773.888
     23.23,    24.2667,      773.411
     23.28,    24.2667,      773.411
     23.33,    24.2667,      771.574
     23.38,     24.284,      773.167
     23.43,    24.2849,      774.554
     23.48,    24.2667,       772.86
     23.53,    24.2849,      773.167
     23.58,    24.2667,       772.86
     23.63,    24.2849,      773.411
     23.68,    24.2667,      772.615
     23.73,    24.2849,      771.318
     23.78,    24.2849,       772.86
     23.83,    24.2849,       772.86
     23.88,    24.2849,       772.86
     23.93,    24.2849,       772.86
     23.98,    24.2849,      772.615
     24.03,    24.2667,       772.86
     24.08,    24.2849,      773.167
     24.13,    24.3013,      772.615
     24.18,    24.2849,      774.261
     24.23,    24.2849,       772.86
     24.28,    24.2849,       772.86
     24.33,    24.2849,       772.86
     24.38,    24.2849,       772.86
     24.43,    24.2849,       772.86
     24.48,    24.3031,      773.104
     24.53,    24.2849,      772.552
     24.58,    24.2849,       772.86
     24.63,     24.284,       772.86
     24.68,    24.2849,      772.455
     24.73,     24.284,      772.371
     24.78,    24.2667,      771.758
     24.83,    24.2849,      772.051
     24.88,    24.3013,      772.127
     24.93,    24.2849,       773.56
     24.98,    24.2667,      772.371
     25.03,    24.2849,      772.678
     25.08,    24.2849,      772.615
     25.13,    24.2667,      772.615
     25.18,    24.2849,      772.678
     25.23,    24.2667,      772.615
     25.28,    24.2667,      772.678
     25.33,    24.2667,      770.806
     25.38,    24.2667,      772.434
     25.43,    24.2667,       773.68
     25.48,    24.2485,      772.434
     25.53,    24.2667,      772.985
     25.58,    24.2515,      772.283
     25.63,    24.2336,      772.771
     25.68,    24.2475,      771.596
     25.73,    24.2464,      772.667
     25.78,    24.2485,      773.944
     25.83,    24.2639,      772.497
     25.88,    24.3678,      773.485
     25.93,    24.3678,      772.984
     25.98,    24.3577,      770.813
     26.03,    24.3737,      772.304
     26.08,    24.3577,       774.07
     26.13,    24.3737,      772.304
     26.18,    24.3523,      771.477
     26.23,    24.3523,      771.264
     26.28,    24.3737,      772.125
     26.33,    24.3737,       774.07
     26.38,    24.3678,       771.19
     26.43,    24.3737,      771.083
     26.48,    24.3737,       774.07
     26.53,    24.3523,      771.477
     26.58,    24.3804,      771.838
     26.63,    24.3737,      772.227
     26.68,    24.3737,      771.477
     26.73,    24.3737,       774.07
     26.78,    24.3804,      772.052
     26.83,    24.3737,      771.922
     26.88,     24.388,      771.477
     26.93,    24.3737,      773.188
     26.98,    24.3737,      771.477
     27.03,    24.3951,      771.765
     27.08,    24.3951,      771.405
     27.13,    24.3737,      773.998
     27.18,    24.3951,      771.765
     27.23,    24.3737,      771.118
     27.28,    24.4165,      771.477
     27.33,    24.3951,      773.637
     27.38,    24.3737,      771.118
     27.43,    24.3951,      771.765
     27.48,    24.4165,      771.118
     27.53,    24.4032,      773.926
     27.58,    24.3951,       772.15
     27.63,     24.388,      771.405
     27.68,    24.4165,      771.014
     27.73,     24.388,      773.637
     27.78,    24.3951,      771.014
     27.83,    24.4165,      771.692
     27.88,    24.4165,      773.926
     27.93,    24.3951,      771.332
     27.98,    24.3951,      771.692
     28.03,    24.4284,      771.692
     28.08,    24.4165,      772.779
     28.13,    24.3951,      771.332
     28.18,    24.4379,      771.692
     28.23,    24.4165,      773.855
     28.28,    24.4032,       771.62
     28.33,    24.4165,      772.456
     28.38,    24.4165,       771.62
     28.43,    24.4284,       771.62
     28.48,    24.4082,      773.597
     28.53,    24.4082,      771.759
     28.58,    24.4165,      773.665
     28.63,    24.4284,      771.907
     28.68,    24.4082,      773.325
     28.73,    24.4165,      771.217
     28.78,    24.4082,      771.332
     28.83,    24.4082,      773.665
     28.88,    24.4379,      770.675
     28.93,    24.4082,      773.855
     28.98,    24.3951,      771.217
     29.03,    24.4284,      772.267
     29.08,    24.4165,      773.597
     29.13,    24.4284,      771.907
     29.18,    24.4082,      773.597
     29.23,    24.4082,      771.217
     29.28,    24.4082,      773.392
     29.33,    24.4165,      771.217
     29.38,    24.4284,       771.62
     29.43,    24.4082,      773.325
     29.48,    24.4165,      771.217
     29.53,    24.4082,      774.505
     29.58,    24.4082,      771.488
     29.63,    24.4165,      773.938
     29.68,     24.388,       771.62
     29.73,    24.3951,      771.557
     29.78,     24.388,      774.867
     29.83,     24.388,      771.557
     29.88,    24.3433,      773.733
     29.93,    24.3759,       771.31
     29.98,    24.3759,      772.059
     30.03,    24.3659,      772.059
     30.08,    24.3889,      773.139
     30.13,    24.4652,      773.297
     30.18,    24.4965,      771.469
     30.23,    24.4965,      772.337
     30.28,    24.5157,      772.079
     30.33,    24.4774,      771.758
     30.38,    24.5093,      769.828
     30.43,    24.5157,      772.783
     30.48,    24.4965,      771.758
     30.53,    24.5157,      769.764
     30.58,    24.5295,      772.274
     30.63,    24.4965,      772.989
     30.68,    24.5349,      770.791
     30.73,    24.5032,      772.469
     30.78,    24.5349,      772.612
     30.83,    24.5157,      772.211
     30.88,    24.5157,      772.791
     30.93,    24.5157,      770.214
     30.98,    24.5349,      772.791
     31.03,    24.5157,      772.211
     31.08,    24.5157,      772.274
     31.13,    24.5349,        769.7
     31.18,    24.5295,      772.211
     31.23,    24.5157,      772.716
     31.28,    24.5349,      770.214
     31.33,    24.5295,      771.952
     31.38,    24.5157,      772.716
     31.43,    24.5396,      769.957
     31.48,    24.5157,      771.266
     31.53,    24.5349,      772.274
     31.58,    24.5349,      771.952
     31.63,    24.5157,      771.694
     31.68,    24.5349,        769.7
     31.73,    24.5349,      771.694
     31.78,    24.5349,      772.211
     31.83,    24.5349,      771.952
     31.88,    24.5349,      769.636
     31.93,    24.5498,      772.211
     31.98,    24.5157,      772.377
     32.03,     24.554,      770.214
     32.08,    24.5498,      771.889
     32.13,    24.5349,      772.923
     32.18,     24.554,      770.407
     32.23,    24.5578,      772.665
     32.28,     24.554,      771.696
     32.33,    24.5498,      771.889
     32.38,    24.5578,      770.472
     32.43,     24.554,      771.941
     32.48,     24.554,      770.858
     32.53,     24.554,      771.631
     32.58,     24.554,      771.631
     32.63,     24.554,      769.573
     32.68,    24.5732,      772.406
     32.73,    24.5498,      772.085
     32.78,    24.5732,      770.472
     32.83,     24.554,      771.568
     32.88,    24.5732,      771.373
     32.93,    24.5349,      770.795
     32.98,    24.5732,      769.124
     33.03,    24.5732,      771.053
     33.08,    24.5578,      771.053
     33.13,    24.5732,      770.717
     33.18,    24.5349,      770.795
     33.23,     24.576,      769.124
     33.28,    24.5732,      770.168
     33.33,    24.5732,      771.053
     33.38,    24.5732,      770.795
     33.43,     24.554,      770.795
     33.48,    24.5732,      768.804
     33.53,     24.554,      770.795
     33.58,    24.5732,      771.373
     33.63,     24.554,      770.538
     33.68,    24.5732,       769.06
     33.73,    24.5923,      770.795
     33.78,    24.5732,      770.475
     33.83,    24.5498,      771.053
     33.88,    24.5923,      769.387
     33.93,    24.5732,      770.732
     33.98,    24.5732,      770.795
     34.03,    24.5732,      768.484
     34.08,    24.5732,      771.053
     34.13,    24.5923,      770.795
